rank,checkpoint_name,selection_score,car_3d_easy,car_3d_moderate,car_3d_hard,car_bev_moderate,car_2d_moderate,prediction_files,nonempty_prediction_files,elapsed_seconds,checkpoint
1,model_final.pth,91.548455,88.5449425,91.548455,92.16463999999999,91.548455,99.64159000000001,3205,3077,92.8963406085968,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_final.pth
2,model_final_ema.pth,91.3957725,88.2090275,91.3957725,92.03537750000001,91.3957725,99.6581725,3205,3079,91.954598903656,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_final_ema.pth
3,model_0007000.pth,91.3025775,88.2592475,91.3025775,91.9775775,91.3025775,99.6592,3205,3077,122.90700125694275,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0007000.pth
4,model_0007000_ema.pth,91.27246,88.0650725,91.27246,91.94937250000001,91.27246,99.64735749999998,3205,3080,105.29356098175049,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0007000_ema.pth
5,model_0006000.pth,90.7689875,87.27970499999999,90.7689875,91.5631775,90.7689875,99.6641475,3205,3078,91.74648332595825,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0006000.pth
6,model_0006000_ema.pth,90.4317975,86.75976000000001,90.4317975,91.20563250000001,90.4317975,99.694225,3205,3084,98.93075799942017,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0006000_ema.pth
7,model_0005000_ema.pth,89.9433775,83.60024750000001,89.9433775,90.79615000000001,89.9433775,99.62009,3205,3087,111.86757326126099,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0005000_ema.pth
8,model_0005000.pth,89.70567,85.331805,89.70567,90.636485,89.75181500000001,99.631155,3205,3081,91.57854437828064,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0005000.pth
9,model_0004000.pth,86.4604875,81.7860125,86.4604875,87.48630499999999,86.4604875,99.59244999999999,3205,3071,94.05299925804138,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0004000.pth
10,model_0004000_ema.pth,81.18086,74.7017425,81.18086,82.49179,81.18086,99.51383249999999,3205,3078,105.74500751495361,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0004000_ema.pth
11,model_0003125.pth,65.119085,56.93741,65.119085,66.8443025,65.119085,96.15935499999999,3205,3061,98.79839611053467,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0003125.pth
12,model_0003000_ema.pth,61.70851,53.791835,61.70851,64.0974525,61.70851,96.50268750000001,3205,3038,96.14756512641907,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0003000_ema.pth
13,model_0003125_ema.pth,61.637209999999996,53.9094575,61.637209999999996,63.89785,61.637209999999996,99.02835,3205,3052,90.9507327079773,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0003125_ema.pth
14,model_0002000.pth,45.449267500000005,37.5508525,45.449267500000005,47.59387,45.449267500000005,92.74781250000001,3205,2953,107.80792284011841,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0002000.pth
15,model_0003000.pth,28.343629999999997,26.704095,28.343629999999997,28.5939375,28.343629999999997,95.047065,3205,3024,102.71912598609924,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0003000.pth
16,model_0002000_ema.pth,20.972089999999998,13.439320000000002,20.972089999999998,23.3184475,20.972089999999998,76.89991,3205,2502,99.36623811721802,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0002000_ema.pth
17,model_0001000.pth,20.804705000000002,16.0058325,20.804705000000002,20.7951025,20.804705000000002,67.2529375,3205,2079,86.52739691734314,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0001000.pth
18,model_0001000_ema.pth,0.089285,0.05911,0.089285,0.089285,0.089285,6.2330575,3205,505,88.08889889717102,/home/dy-jang/projects/TruckDetection-main/smoke_geometry_v2_training_bundle_20260528/results/real_v4_distill_dla18_nodcn_640x480/seed_42/model_0001000_ema.pth
